,日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,与年成交量比率
0,2019/01/02,5.27,5.36,5.03,5.06,7347745.0,6544.5152,0.0,0.0
1,2019/01/03,5.11,5.22,5.05,5.11,6654300.0,5910.0156,9.88,0.0
2,2019/01/04,4.99,5.2,4.98,5.16,5535093.0,4876.6012,9.78,0.0
3,2019/01/07,5.18,5.36,5.13,5.32,6377609.0,5778.2428,31.01,0.0
4,2019/01/08,5.32,5.79,5.19,5.38,14403782.0,13500.2624,11.28,0.0
5,2019/01/09,5.22,5.36,5.15,5.36,11644891.0,10551.5856,-3.72,0.0
6,2019/01/10,5.3,5.33,5.18,5.19,6451634.0,5848.1516,-31.72,0.0
7,2019/01/11,5.16,5.26,5.16,5.23,4314200.0,3886.1488,7.71,0.0
8,2019/01/14,5.23,5.26,5.15,5.16,3838940.0,3442.1348,-13.38,0.0
9,2019/01/15,5.16,5.26,5.05,5.23,5545800.0,4964.644,13.57,0.0
10,2019/01/16,5.26,5.29,5.2,5.22,3619849.0,3265.6096,-1.91,0.0
11,2019/01/17,5.22,5.37,5.12,5.27,8622614.0,7767.3032,9.58,0.0
12,2019/01/18,5.27,5.36,5.23,5.34,6556012.0,5991.11,13.28,0.0
13,2019/01/21,5.44,5.88,5.4,5.88,12328820.0,12055.6064,101.12,0.0
14,2019/01/22,6.19,6.19,5.68,5.89,30684838.0,31348.0576,1.7,0.0
15,2019/01/23,5.7,5.91,5.66,5.79,15249662.0,15106.8816,-16.98,0.0
16,2019/01/24,5.74,5.79,5.58,5.59,10731739.0,10454.6056,-34.54,0.0
17,2019/01/25,5.63,5.7,5.51,5.6,7740570.0,7451.8992,1.79,0.0
18,2019/01/28,5.68,5.77,5.54,5.54,7518470.0,7300.8576,-10.71,0.0
19,2019/01/29,5.46,5.47,4.99,5.12,12135608.0,10682.7464,-75.81,0.0
20,2019/01/30,4.99,5.15,4.99,5.1,5905028.0,5170.7304,-3.91,0.0
21,2019/01/31,5.07,5.19,4.87,4.92,6622460.0,5774.8592,-35.29,0.0
22,2019/02/01,4.93,5.32,4.91,5.19,6461921.0,5673.6328,54.88,0.0
23,2019/02/11,5.21,5.29,5.12,5.25,5188077.0,4670.3536,11.56,0.0
24,2019/02/12,5.25,5.5,5.23,5.39,8175817.0,7546.3632,26.67,0.0
25,2019/02/13,5.36,5.53,5.31,5.42,7386294.0,6897.3936,5.57,0.0
26,2019/02/14,5.41,5.51,5.36,5.48,6224626.0,5848.8404,11.07,0.0
27,2019/02/15,5.5,5.62,5.45,5.46,6039984.0,5735.3928,-3.65,0.0
28,2019/02/18,5.51,5.72,5.5,5.68,10177596.0,9843.4392,40.29,0.0
29,2019/02/19,5.67,5.8,5.61,5.75,8351729.0,8225.6616,12.32,0.0
30,2019/02/20,5.76,6.15,5.63,6.05,9315876.0,9376.804,52.17,0.0
31,2019/02/21,5.98,6.61,5.93,6.3,16527954.0,17881.9344,41.32,0.0
32,2019/02/22,6.26,6.41,6.15,6.33,10644297.0,11508.592,4.76,0.0
33,2019/02/25,6.35,6.97,6.31,6.97,17557647.0,19920.552,101.11,0.0
34,2019/02/26,7.11,7.55,6.67,7.15,24125935.0,29193.5136,25.82,0.0
35,2019/02/27,6.89,7.02,6.55,6.68,19624601.0,23138.1408,-65.73,0.0
36,2019/02/28,6.57,6.93,6.57,6.76,10331678.0,12028.9792,11.98,0.0
37,2019/03/01,6.92,7.1,6.68,6.76,11407215.0,13419.3856,0.0,0.0
38,2019/03/04,6.78,6.92,6.63,6.66,13909872.0,16167.2464,-14.79,0.0
39,2019/03/05,6.68,6.78,6.64,6.77,10641061.0,12282.8704,16.52,0.0
40,2019/03/06,6.76,7.29,6.76,7.21,23520328.0,28710.336,64.99,0.0
41,2019/03/07,7.07,7.12,6.9,7.07,17472129.0,21105.496,-19.42,0.0
42,2019/03/08,6.91,6.91,6.4,6.41,14031201.0,16156.12,-93.35,0.0
43,2019/03/11,6.48,6.93,6.48,6.85,13916080.0,16219.5744,68.64,0.0
44,2019/03/12,6.96,7.24,6.82,6.93,18414733.0,22135.1968,11.68,0.0
45,2019/03/13,6.97,7.36,6.93,7.15,20004895.0,24477.3856,31.75,0.0
46,2019/03/14,7.56,7.75,7.14,7.28,26282363.0,33784.9152,18.18,0.0
47,2019/03/15,7.08,7.3,6.92,7.12,15870481.0,19428.296,-21.98,0.0
48,2019/03/18,7.21,7.26,6.97,7.24,11274202.0,13865.6896,16.85,0.0
49,2019/03/19,7.26,7.38,7.16,7.25,11995645.0,14976.8528,1.38,0.0
50,2019/03/20,7.15,7.23,6.91,7.0,10848123.0,13095.4704,-34.48,0.0
51,2019/03/21,7.05,7.05,6.94,6.97,8771506.0,10537.8088,-4.29,0.0
52,2019/03/22,6.95,6.95,6.72,6.81,7649300.0,8954.5784,-22.96,0.0
53,2019/03/25,6.69,6.9,6.61,6.73,5951514.0,6962.2128,-11.75,0.0
54,2019/03/26,6.77,6.83,6.42,6.46,7102779.0,8075.5224,-40.12,0.0
55,2019/03/27,6.61,6.72,6.52,6.63,6610209.0,7514.9312,26.32,0.0
56,2019/03/28,6.59,6.61,6.34,6.36,6209286.0,6929.5424,-40.72,0.0
57,2019/03/29,6.37,6.51,6.17,6.5,7917617.0,8660.3376,22.01,0.0
58,2019/04/01,6.5,6.71,6.49,6.68,7439800.0,8503.3936,27.69,0.0
59,2019/04/02,6.74,6.78,6.62,6.66,8042225.0,9300.9928,-2.99,0.0
60,2019/04/03,6.65,6.73,6.58,6.72,6082225.0,6995.392,9.01,0.0
61,2019/04/04,6.74,6.78,6.62,6.69,5643062.0,6488.624,-4.46,0.0
62,2019/04/08,6.69,6.74,6.39,6.48,7380359.0,8333.788,-31.39,0.0
63,2019/04/09,6.48,6.58,6.44,6.54,5116451.0,5733.1828,9.26,0.0
64,2019/04/10,6.33,6.48,6.29,6.34,7340312.0,8014.5736,-30.58,0.0
65,2019/04/11,6.3,6.54,6.29,6.52,9869305.0,10957.8736,28.39,0.0
66,2019/04/12,6.5,6.78,6.42,6.76,12670674.0,14492.736,36.81,0.0
67,2019/04/15,6.79,7.06,6.55,6.59,12831699.0,15117.8752,-25.15,0.0
68,2019/04/16,6.43,6.62,6.37,6.62,6082476.0,6810.5376,4.55,0.0
69,2019/04/17,6.63,7.0,6.54,6.97,14163801.0,16698.5264,52.87,0.0
70,2019/04/18,6.92,7.26,6.85,7.17,17488763.0,21481.9968,28.69,0.0
71,2019/04/19,7.05,7.14,6.82,7.11,10440766.0,12595.9016,-8.37,0.0
72,2019/04/22,7.07,7.09,6.8,6.8,7301160.0,8709.692,-43.6,0.0
73,2019/04/23,6.76,6.95,6.68,6.72,5732720.0,6738.3144,-11.76,0.0
74,2019/04/24,6.96,7.4,6.88,7.4,21055486.0,25937.1584,101.19,0.0
75,2019/04/25,7.61,7.77,6.97,6.99,31870856.0,40842.5984,-55.41,0.0
76,2019/04/26,6.58,6.62,6.29,6.36,17033897.0,18814.7392,-90.13,0.0
77,2019/04/29,6.37,6.99,6.37,6.99,9270961.0,10879.2608,99.06,0.0
78,2019/04/30,6.99,6.99,6.29,6.57,13424568.0,15321.2016,-60.09,0.0
79,2019/05/06,5.98,6.09,5.91,5.91,8669140.0,8908.624,-100.46,0.0
80,2019/05/07,5.92,6.01,5.62,5.72,7457520.0,7416.7688,-32.15,0.0
81,2019/05/08,5.59,5.68,5.31,5.46,5451487.0,5176.8524,-45.45,0.0
82,2019/05/09,5.48,5.63,5.43,5.51,3774302.0,3616.8568,9.16,0.0
83,2019/05/10,5.66,5.74,5.35,5.74,4894102.0,4737.0416,41.74,0.0
84,2019/05/13,5.66,5.96,5.64,5.79,4589242.0,4585.12,8.71,0.0
85,2019/05/14,5.6,5.88,5.6,5.71,3096402.0,3060.9694,-13.82,0.0
86,2019/05/15,5.85,5.96,5.76,5.89,4244100.0,4292.4952,31.52,0.0
87,2019/05/16,5.84,5.91,5.75,5.84,3379141.0,3396.6524,-8.49,0.0
88,2019/05/17,5.81,5.9,5.6,5.66,3570425.0,3522.0244,-30.82,0.0
89,2019/05/20,5.52,5.77,5.5,5.64,2292297.0,2220.9612,-3.53,0.0
90,2019/05/21,5.7,5.89,5.64,5.84,3543781.0,3538.8676,35.46,0.0
91,2019/05/22,5.85,5.92,5.69,5.78,2176081.0,2182.951,-10.27,0.0
92,2019/05/23,5.8,5.84,5.65,5.7,2799180.0,2760.2454,-13.84,0.0
93,2019/05/24,5.63,5.79,5.57,5.73,1317318.0,1290.9824,5.26,0.0
94,2019/05/27,5.74,5.91,5.71,5.86,3496143.0,3494.154,22.69,0.0
95,2019/05/28,5.85,6.22,5.85,6.07,6164132.0,6391.5464,35.84,0.0
96,2019/05/29,6.07,6.13,5.95,6.09,3839235.0,3996.9856,3.29,0.0
97,2019/05/30,6.07,6.2,5.96,6.13,3549743.0,3733.7636,6.57,0.0
98,2019/05/31,6.13,6.22,5.98,6.03,3046530.0,3187.9936,-16.31,0.0
99,2019/06/03,6.0,6.09,5.86,5.89,3704517.0,3789.0808,-23.22,0.0
100,2019/06/04,5.98,6.03,5.83,5.86,1892625.0,1924.0516,-5.09,0.0
101,2019/06/05,5.93,6.03,5.83,5.88,1785620.0,1815.6028,3.41,0.0
102,2019/06/06,5.88,5.91,5.61,5.66,2585402.0,2542.7936,-37.41,0.0
103,2019/06/10,5.74,6.23,5.67,6.23,11543732.0,12223.5664,100.71,0.0
104,2019/06/11,6.19,6.86,6.01,6.86,21174098.0,23458.0256,101.12,0.0
105,2019/06/12,6.59,6.96,6.19,6.33,31671957.0,35455.1776,-77.26,0.0
106,2019/06/13,5.99,6.22,5.99,6.11,13210679.0,13885.632,-34.76,0.0
107,2019/06/14,6.05,6.26,5.72,5.77,10047116.0,10372.376,-55.65,0.0
108,2019/06/17,5.66,5.81,5.65,5.75,5169886.0,5093.9024,-3.47,0.0
109,2019/06/18,5.75,5.84,5.57,5.61,4709160.0,4595.2348,-24.35,0.0
110,2019/06/19,5.8,5.91,5.7,5.76,7112704.0,7108.304,26.74,0.0
111,2019/06/20,5.64,6.07,5.64,5.93,8145185.0,8326.04,29.51,0.0
112,2019/06/21,6.01,6.23,5.95,6.19,9641134.0,10149.972,43.84,0.0
113,2019/06/24,6.19,6.31,6.02,6.26,8895475.0,9476.9528,11.31,0.0
114,2019/06/25,6.26,6.26,5.99,6.03,6382100.0,6688.9944,-36.74,0.0
115,2019/06/26,6.08,6.15,5.72,5.82,9822920.0,5841.8192,-34.83,0.0
116,2019/06/27,5.85,5.96,5.76,5.81,7113782.0,4166.6568,-1.72,0.0
117,2019/06/28,5.8,5.83,5.49,5.53,10526230.0,5900.8372,-48.19,0.0
118,2019/07/01,5.63,5.71,5.58,5.66,8141510.0,4599.1256,23.51,0.0
119,2019/07/02,5.67,5.79,5.57,5.67,6698877.0,3804.168,1.77,0.0
120,2019/07/03,5.6,5.6,5.22,5.3,15808526.0,8450.612,-65.26,0.0
121,2019/07/04,5.28,5.8,5.28,5.47,15964181.0,8838.2584,32.08,0.0
122,2019/07/05,5.38,5.51,5.26,5.37,8722722.0,4692.3008,-18.28,0.0
123,2019/07/08,5.4,5.4,5.08,5.25,8520126.0,4443.1832,-22.35,0.0
124,2019/07/09,5.23,5.23,5.05,5.09,8567459.0,4375.6608,-30.48,0.0
125,2019/07/10,5.09,5.15,4.98,5.0,7572048.0,3810.6944,-17.68,0.0
126,2019/07/11,5.05,5.11,4.96,4.99,5595663.0,2814.3016,-2.0,0.0
127,2019/07/12,5.0,5.05,4.96,5.0,3953679.0,1978.206,2.0,0.0
128,2019/07/15,4.99,5.03,4.82,5.02,7591228.0,3753.5888,4.0,0.0
129,2019/07/16,4.98,5.07,4.96,5.07,5983103.0,2995.376,9.96,0.0
130,2019/07/17,5.07,5.07,4.97,4.98,5633937.0,2825.0244,-17.75,0.0
131,2019/07/18,4.94,5.17,4.82,5.13,11478726.0,5723.4764,30.12,0.0
132,2019/07/19,5.07,5.25,5.05,5.2,11333328.0,5828.0176,13.65,0.0
133,2019/07/22,5.22,5.29,4.81,5.03,6931229.0,3517.6836,-32.69,0.0
134,2019/07/23,4.98,5.1,4.98,5.05,4035303.0,2038.3814,3.98,0.0
135,2019/07/24,5.04,5.15,5.03,5.12,6219079.0,3172.4054,13.86,0.0
136,2019/07/25,5.11,5.12,5.02,5.02,4752054.0,2397.5862,-19.53,0.0
137,2019/07/26,5.04,5.36,4.99,5.19,10080641.0,5191.4908,33.86,0.0
138,2019/07/29,5.13,5.27,5.13,5.16,4304498.0,2236.231,-5.78,0.0
139,2019/07/30,5.14,5.35,5.13,5.34,10051213.0,5255.0032,34.88,0.0
140,2019/07/31,5.33,5.49,5.23,5.41,11596427.0,6209.2488,13.11,0.0
141,2019/08/01,5.35,5.8,5.35,5.67,19181616.0,10776.6056,48.06,0.0
142,2019/08/02,5.58,5.84,5.49,5.82,21080165.0,12011.9672,26.46,0.0
143,2019/08/05,6.15,6.24,5.73,5.82,22678230.0,13497.8416,0.0,0.0
144,2019/08/06,5.37,5.69,5.36,5.5,14584811.0,8057.7488,-54.98,0.0
145,2019/08/07,5.56,5.61,5.21,5.22,10447106.0,5598.4424,-50.91,0.0
146,2019/08/08,5.22,5.43,5.06,5.33,9548193.0,5014.248,21.07,0.0
147,2019/08/09,5.27,5.46,5.27,5.37,8092764.0,4360.334,7.5,0.0
148,2019/08/12,5.37,5.65,5.31,5.6,7384939.0,4038.9064,42.83,0.0
149,2019/08/13,5.54,5.72,5.42,5.55,8160521.0,4535.4568,-8.93,0.0
150,2019/08/14,5.6,5.66,5.46,5.47,6374655.0,3525.8056,-14.41,0.0
151,2019/08/15,5.31,5.59,5.22,5.51,4775523.0,2599.3424,7.31,0.0
152,2019/08/16,5.49,5.54,5.36,5.37,4684807.0,2557.0734,-25.41,0.0
153,2019/08/19,5.54,5.54,5.4,5.5,6926435.0,3800.5084,24.21,0.0
154,2019/08/20,5.52,5.54,5.43,5.49,5451707.0,2990.3406,-1.82,0.0
155,2019/08/21,5.51,5.51,5.31,5.4,7794268.0,4204.8844,-16.39,0.0
156,2019/08/22,5.4,5.67,5.34,5.6,11624568.0,6423.6272,37.04,0.0
157,2019/08/23,5.65,5.72,5.53,5.56,7464538.0,4177.2616,-7.14,0.0
158,2019/08/26,5.38,5.6,5.3,5.48,6044050.0,3305.8036,-14.39,0.0
159,2019/08/27,5.59,5.59,5.45,5.48,5570170.0,3067.829,0.0,0.0
160,2019/08/28,5.48,5.54,5.45,5.46,3003574.0,1646.1447,-3.65,0.0
161,2019/08/29,5.48,5.49,5.37,5.4,3942631.0,2130.4338,-10.99,0.0
162,2019/08/30,5.41,5.46,5.2,5.21,5850791.0,3110.3248,-35.19,0.0
163,2019/09/02,5.25,5.47,5.21,5.45,6270529.0,3351.0816,46.07,0.0
164,2019/09/03,5.42,5.59,5.39,5.56,10014909.0,5537.1556,20.18,0.0
165,2019/09/04,5.62,5.9,5.57,5.78,16149306.0,9278.7552,39.57,0.0
166,2019/09/05,5.8,5.96,5.63,5.69,17394068.0,10095.8952,-15.57,0.0
167,2019/09/06,5.75,5.93,5.69,5.88,12178257.0,7079.3352,33.39,0.0
168,2019/09/09,5.99,5.99,5.85,5.91,11977961.0,7054.2368,5.1,0.0
169,2019/09/10,6.1,6.15,5.94,6.05,15808907.0,9542.1312,23.69,0.0
170,2019/09/11,6.15,6.15,5.95,5.97,7788131.0,4679.95,-13.22,0.0
171,2019/09/12,5.97,5.99,5.8,5.93,6179549.0,3661.214,-6.7,0.0
172,2019/09/16,5.97,6.12,5.85,5.93,8217480.0,4924.8816,0.0,0.0
173,2019/09/17,5.93,5.98,5.81,5.84,8040252.0,4705.7724,-15.18,0.0
174,2019/09/18,5.99,6.03,5.84,6.01,9307015.0,5519.074,29.11,0.0
175,2019/09/19,6.0,6.53,5.96,6.36,20415600.0,12884.5888,58.24,0.0
176,2019/09/20,6.25,6.66,6.25,6.58,21690489.0,14208.1712,34.59,0.0
177,2019/09/23,7.24,7.24,7.24,7.24,11715334.0,8481.9016,100.3,0.0
178,2019/09/24,7.96,7.96,7.4,7.96,74954089.0,58509.4528,99.45,0.0
179,2019/09/25,7.9,8.76,7.7,8.76,82347585.0,69633.4656,100.5,0.0
180,2019/09/26,9.0,9.13,7.88,7.9,115001813.0,98910.5152,-98.17,0.0
181,2019/09/27,7.8,8.69,7.8,8.69,64353356.0,54590.3552,100.0,0.0
182,2019/09/30,9.0,9.56,8.07,8.26,134834167.0,120265.4336,-49.48,0.0
183,2019/10/08,8.21,9.0,8.21,8.58,102799264.0,88804.4224,38.74,0.0
184,2019/10/09,8.39,8.41,7.72,8.0,95624617.0,76075.6736,-67.6,0.0
185,2019/10/10,8.03,8.76,7.9,8.51,101182876.0,85206.0672,63.75,0.0
186,2019/10/11,8.48,8.86,8.35,8.37,108367264.0,93528.5952,-16.45,0.0
187,2019/10/14,8.35,9.05,8.16,9.01,104910065.0,91212.7488,76.46,0.0
188,2019/10/15,8.5,8.54,8.11,8.11,86165985.0,71052.5824,-99.89,0.0
189,2019/10/16,8.0,8.14,7.61,7.72,54011315.0,42449.9456,-48.09,0.0
190,2019/10/17,7.76,7.93,7.42,7.48,51538645.0,39734.7648,-31.09,0.0
191,2019/10/18,7.51,7.54,7.14,7.21,43506001.0,31887.7568,-36.1,0.0
192,2019/10/21,7.28,7.28,6.88,7.12,33280017.0,23472.5376,-12.48,0.0
193,2019/10/22,7.14,7.28,7.02,7.24,35464881.0,25448.8,16.85,0.0
194,2019/10/23,7.18,7.43,7.02,7.02,37529305.0,27014.9792,-30.39,0.0
195,2019/10/24,6.9,7.22,6.71,7.09,37560569.0,26298.6944,9.97,0.0
196,2019/10/25,7.08,7.2,6.74,6.85,34175440.0,23792.4784,-33.85,0.0
197,2019/10/28,7.54,7.54,7.54,7.54,5119045.0,3859.76,100.73,0.0
198,2019/10/29,7.59,8.24,7.5,7.54,95262206.0,75404.3968,0.0,0.0
199,2019/10/30,7.2,7.47,6.8,7.19,51599903.0,36821.5168,-46.42,0.0
200,2019/10/31,7.0,7.91,6.9,7.91,95961208.0,73742.2528,100.14,0.0
201,2019/11/01,7.98,8.27,7.6,7.78,82710638.0,65576.0128,-16.43,0.0
202,2019/11/04,7.61,7.88,7.31,7.51,70572052.0,53828.1664,-34.7,0.0
203,2019/11/05,7.41,8.09,7.1,7.82,88340072.0,66966.816,41.28,0.0
204,2019/11/06,7.64,7.71,7.22,7.35,58187735.0,43144.528,-60.1,0.0
205,2019/11/07,7.27,7.55,7.15,7.46,50442176.0,37308.288,14.97,0.0
206,2019/11/08,7.46,7.47,7.21,7.23,34685536.0,25434.2832,-30.83,0.0
207,2019/11/11,7.08,7.13,6.75,6.8,40395000.0,27849.9168,-59.47,0.0
208,2019/11/12,6.8,6.88,6.67,6.83,22714011.0,15430.992,4.41,0.0
209,2019/11/13,6.81,6.84,6.59,6.65,21953334.0,14681.0832,-26.35,0.0
210,2019/11/14,6.69,6.96,6.61,6.85,38001775.0,25976.0688,30.08,0.0
211,2019/11/15,6.77,7.2,6.73,7.06,40278671.0,28437.7632,30.66,0.0
212,2019/11/18,7.0,7.33,7.0,7.11,23045841.0,16524.904,7.08,0.0
213,2019/11/19,7.14,7.25,7.03,7.14,21406089.0,15262.3296,4.22,0.0
214,2019/11/20,7.18,7.18,6.85,7.04,27774968.0,19397.2432,-14.01,0.0
215,2019/11/21,6.94,7.17,6.82,7.0,21915805.0,15391.8128,-5.68,0.0
216,2019/11/22,6.94,7.11,6.83,7.08,21458398.0,14950.9648,11.43,0.0
217,2019/11/25,7.07,7.18,7.0,7.03,20434699.0,14503.8208,-7.06,0.0
218,2019/11/26,7.05,7.11,6.62,6.79,23266013.0,15907.1888,-34.14,0.0
219,2019/11/27,6.65,6.75,6.47,6.64,20621786.0,13650.4768,-22.09,0.0
220,2019/11/28,6.64,6.75,6.46,6.49,16538322.0,10850.916,-22.59,0.0
221,2019/11/29,6.51,6.54,6.36,6.41,12934339.0,8306.4456,-12.33,0.0
222,2019/12/02,6.44,6.55,6.35,6.44,13881577.0,8941.4464,4.68,0.0
223,2019/12/03,6.41,7.08,6.36,7.08,39418504.0,26939.8112,99.38,0.0
224,2019/12/04,7.1,7.25,6.74,6.77,62109794.0,43399.5904,-43.79,0.0
225,2019/12/05,6.87,6.98,6.71,6.89,33627443.0,23022.1632,17.73,0.0
226,2019/12/06,6.81,6.89,6.68,6.85,25593703.0,17377.0048,-5.81,0.0
227,2019/12/09,6.84,7.24,6.75,7.03,35646929.0,24953.512,26.28,0.0
228,2019/12/10,7.0,7.08,6.8,7.03,28017685.0,19409.9856,0.0,0.0
229,2019/12/11,6.97,7.2,6.92,6.99,27260856.0,19261.8944,-5.69,0.0
230,2019/12/12,6.94,7.08,6.86,7.03,22524853.0,15710.9248,5.72,0.0
231,2019/12/13,7.09,7.14,6.93,6.99,18368682.0,12841.9168,-5.69,0.0
232,2019/12/16,6.99,7.0,6.83,6.99,25433014.0,17539.9152,0.0,0.0
233,2019/12/17,6.96,7.12,6.93,7.07,33769245.0,23759.2496,11.44,0.0
234,2019/12/18,7.02,7.2,7.01,7.07,26324933.0,18671.8768,0.0,0.0
235,2019/12/19,7.06,7.17,6.96,7.1,22587279.0,15939.3776,4.24,0.0
236,2019/12/20,7.08,7.17,6.84,6.84,21187409.0,14838.9792,-36.62,0.0
237,2019/12/23,6.88,7.2,6.45,6.56,24303037.0,16711.4432,-40.94,0.0
238,2019/12/24,6.55,6.69,6.4,6.62,17643601.0,11580.656,9.15,0.0
239,2019/12/25,6.63,6.8,6.61,6.73,18851549.0,12674.3408,16.62,0.0
240,2019/12/26,6.75,6.95,6.71,6.74,21802019.0,14883.192,1.49,0.0
241,2019/12/27,6.78,6.93,6.4,6.42,38247285.0,24993.9312,-47.48,0.0
242,2019/12/30,6.37,6.79,6.29,6.74,40036311.0,26208.7344,49.84,0.0
243,2019/12/31,6.7,7.12,6.69,7.0,44549818.0,30895.5264,38.58,0.0
244,2020/01/02,7.14,7.22,6.98,7.09,31895351.0,22635.7056,12.86,0.0
245,2020/01/03,7.16,7.8,7.11,7.33,49609652.0,36259.3248,33.85,0.0
246,2020/01/06,7.25,7.28,7.11,7.15,31098574.0,22333.8224,-24.56,0.0
247,2020/01/07,7.14,7.42,7.14,7.41,47764891.0,34954.5376,36.36,0.0
248,2020/01/08,7.37,7.37,7.07,7.21,37283309.0,26778.9696,-26.99,0.0
249,2020/01/09,7.29,7.45,7.16,7.4,53281436.0,38814.0736,26.35,0.0
250,2020/01/10,7.6,7.68,6.98,6.99,78085313.0,56136.4864,-55.41,0.0
251,2020/01/13,6.98,6.98,6.6,6.74,41647175.0,28051.3664,-35.77,0.0
252,2020/01/14,6.78,6.83,6.68,6.7,31146564.0,21019.84,-5.93,0.0
253,2020/01/15,6.66,6.8,6.58,6.67,28156429.0,18883.5424,-4.48,0.0
254,2020/01/16,6.67,6.71,6.41,6.42,34633855.0,22496.3728,-37.48,0.0
255,2020/01/17,6.45,6.48,6.33,6.34,18550432.0,11867.4096,-12.46,0.0
256,2020/01/20,6.29,6.36,6.21,6.25,18494907.0,11567.4712,-14.2,0.0
257,2020/01/21,5.67,5.88,5.63,5.63,41463855.0,23644.4992,-99.2,0.0
258,2020/01/22,5.67,5.72,5.52,5.63,23612869.0,13318.8624,0.0,0.0
259,2020/01/23,5.59,5.65,5.26,5.43,25880833.0,14123.328,-35.52,0.0
