,日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,与年成交量比率
0,2019/01/02,4716.57,4723.74,4639.53,4647.54,66768138.0,5653547.4176,0.0,0.43
1,2019/01/03,4630.79,4684.33,4582.36,4588.08,76749834.0,6376751.104,-12.79,0.49
2,2019/01/04,4537.13,4719.39,4527.95,4716.47,98178458.0,7676291.4816,27.98,0.59
3,2019/01/07,4750.98,4820.36,4739.8,4814.22,104905474.0,8537772.032,20.73,0.66
4,2019/01/08,4801.03,4834.36,4790.85,4813.6,100799730.0,7804969.7792,-0.13,0.6
5,2019/01/09,4830.15,4915.48,4803.39,4845.79,120503335.0,9496680.0384,6.69,0.73
6,2019/01/10,4848.91,4883.45,4829.58,4838.24,104048019.0,8159063.2448,-1.56,0.63
7,2019/01/11,4844.73,4883.98,4819.86,4863.63,99017091.0,7733923.84,5.25,0.59
8,2019/01/14,4862.26,4872.34,4808.66,4819.7,97597283.0,7566775.0912,-9.03,0.58
9,2019/01/15,4809.16,4905.2,4794.29,4905.2,99640268.0,7957812.0192,17.74,0.61
10,2019/01/16,4901.19,4932.45,4879.96,4893.04,96577018.0,7849150.8736,-2.48,0.6
11,2019/01/17,4891.06,4903.77,4844.91,4850.2,93380526.0,7158607.0528,-8.76,0.55
12,2019/01/18,4861.64,4929.0,4853.72,4926.27,97657100.0,7706342.1952,15.68,0.59
13,2019/01/21,4933.02,4983.28,4915.47,4960.96,89194931.0,7488516.9152,7.04,0.57
14,2019/01/22,4952.05,4952.05,4872.72,4890.78,82906792.0,6779643.904,-14.15,0.52
15,2019/01/23,4868.46,4905.41,4863.26,4887.24,76182754.0,6236921.4464,-0.72,0.48
16,2019/01/24,4893.9,4940.85,4852.61,4920.11,91775777.0,7509014.9376,6.73,0.58
17,2019/01/25,4921.45,4986.21,4905.02,4945.27,97979455.0,7948774.6048,5.11,0.61
18,2019/01/28,4981.63,5033.76,4937.54,4954.63,92018145.0,7655402.7008,1.89,0.59
19,2019/01/29,4941.76,4941.76,4833.13,4904.71,93719371.0,7347100.8768,-10.08,0.56
20,2019/01/30,4883.58,4926.82,4840.4,4842.97,70506553.0,5843521.1264,-12.59,0.45
21,2019/01/31,4856.29,4907.06,4809.74,4836.61,91762648.0,6944437.8624,-1.31,0.53
22,2019/02/01,4866.87,5004.49,4866.43,5004.49,82570667.0,6519033.0368,34.71,0.5
23,2019/02/11,5021.04,5175.23,5021.04,5174.37,95503670.0,8037652.8896,33.95,0.62
24,2019/02/12,5172.81,5235.59,5157.27,5224.81,110207164.0,9028250.8288,9.75,0.69
25,2019/02/13,5234.1,5350.12,5222.0,5334.67,136011648.0,11554787.328,21.03,0.89
26,2019/02/14,5335.52,5398.94,5312.84,5378.74,118955607.0,10180361.4208,8.26,0.78
27,2019/02/15,5367.54,5380.59,5307.31,5313.99,130087443.0,10654440.6528,-12.04,0.82
28,2019/02/18,5355.87,5540.07,5355.87,5540.07,165732020.0,13929021.44,42.54,1.07
29,2019/02/19,5554.72,5605.55,5469.14,5534.39,188873740.0,15628387.9424,-1.03,1.2
30,2019/02/20,5539.48,5577.53,5491.57,5565.94,154808803.0,12690754.7648,5.7,0.97
31,2019/02/21,5563.96,5678.08,5526.26,5552.57,186999584.0,15870838.3744,-2.4,1.22
32,2019/02/22,5538.19,5688.88,5514.19,5688.88,180882951.0,15431643.9552,24.55,1.18
33,2019/02/25,5787.15,5988.48,5770.39,5985.31,272038229.0,24269629.0304,52.11,1.86
34,2019/02/26,5993.31,6084.57,5914.1,5964.78,274172805.0,24310294.1184,-3.43,1.87
35,2019/02/27,5930.85,5986.65,5805.65,5881.48,229620816.0,20159977.8816,-13.97,1.55
36,2019/02/28,5874.56,5931.88,5843.38,5893.69,181390942.0,15463276.544,2.08,1.19
37,2019/03/01,5952.3,5968.05,5842.05,5939.92,161986869.0,14190157.824,7.84,1.09
38,2019/03/04,6010.75,6202.83,6001.28,6074.02,250554066.0,23190516.5312,22.58,1.78
39,2019/03/05,6061.0,6215.88,6035.48,6215.88,233911987.0,21197835.4688,23.36,1.63
40,2019/03/06,6263.91,6286.91,6170.55,6274.22,287677884.0,25981775.0528,9.39,1.99
41,2019/03/07,6270.59,6301.58,6163.84,6244.14,289576959.0,26947375.9232,-4.79,2.07
42,2019/03/08,6089.73,6301.65,6020.81,6081.05,306397755.0,27887085.1584,-26.12,2.14
43,2019/03/11,6128.15,6317.72,6104.91,6317.72,243506281.0,23074938.88,38.92,1.77
44,2019/03/12,6355.44,6454.08,6293.59,6401.21,291228596.0,27792818.176,13.22,2.13
45,2019/03/13,6385.26,6385.26,6172.44,6212.23,276176801.0,26430331.2896,-29.52,2.03
46,2019/03/14,6168.14,6221.07,6044.21,6112.59,213615703.0,19761592.7296,-16.04,1.52
47,2019/03/15,6157.75,6271.23,6132.4,6198.56,183204501.0,17251821.1584,14.06,1.32
48,2019/03/18,6203.78,6367.84,6153.83,6367.84,187450563.0,18327001.4976,27.31,1.41
49,2019/03/19,6369.51,6409.17,6317.64,6358.48,183782384.0,17868103.68,-1.47,1.37
50,2019/03/20,6355.55,6362.9,6226.12,6324.83,189609152.0,17955083.0592,-5.29,1.38
51,2019/03/21,6328.51,6402.15,6303.37,6365.43,214622412.0,20201647.3088,6.42,1.55
52,2019/03/22,6360.12,6377.51,6237.32,6367.47,192773895.0,18802109.6448,0.32,1.44
53,2019/03/25,6245.04,6350.03,6229.48,6244.21,186354313.0,18291307.3152,-19.36,1.4
54,2019/03/26,6275.27,6296.56,6107.67,6126.43,187239413.0,18065678.336,-18.86,1.39
55,2019/03/27,6169.85,6183.83,6068.24,6175.54,164441767.0,16227668.7872,8.02,1.25
56,2019/03/28,6147.1,6240.26,6120.41,6137.7,160077828.0,16249125.2736,-6.13,1.25
57,2019/03/29,6141.63,6380.2,6127.77,6379.98,191538805.0,19409610.3424,39.47,1.49
58,2019/04/01,6416.95,6612.59,6416.95,6610.07,239580860.0,25099449.1392,36.06,1.93
59,2019/04/02,6641.49,6645.51,6572.04,6596.58,243591537.0,25269685.4528,-2.04,1.94
60,2019/04/03,6561.49,6658.14,6532.84,6649.53,218807378.0,21818135.3472,8.03,1.67
61,2019/04/04,6659.92,6695.76,6602.33,6662.74,225392833.0,23127993.5488,1.99,1.77
62,2019/04/08,6721.65,6739.69,6509.74,6580.05,236105670.0,24507939.2256,-12.41,1.88
63,2019/04/09,6557.13,6605.83,6508.09,6589.38,192247806.0,19943673.0368,1.42,1.53
64,2019/04/10,6560.0,6624.39,6499.88,6574.23,200118972.0,20181001.8304,-2.3,1.55
65,2019/04/11,6570.51,6589.9,6404.69,6413.63,193228576.0,19170731.6224,-24.43,1.47
66,2019/04/12,6408.08,6430.09,6363.7,6411.38,161319596.0,15729321.5744,-0.35,1.21
67,2019/04/15,6510.08,6552.46,6351.51,6356.75,173034014.0,17523946.2912,-8.52,1.34
68,2019/04/16,6322.71,6497.48,6269.0,6497.48,173424916.0,17632308.4288,22.14,1.35
69,2019/04/17,6513.74,6580.91,6486.99,6533.64,191941415.0,19909477.9904,5.57,1.53
70,2019/04/18,6531.11,6539.26,6464.97,6476.82,183211954.0,18423155.9168,-8.7,1.41
71,2019/04/19,6474.1,6530.41,6423.03,6530.41,176735239.0,16900454.8096,8.27,1.3
72,2019/04/22,6533.82,6535.52,6401.84,6417.32,187422594.0,18618387.6608,-17.32,1.43
73,2019/04/23,6427.38,6439.49,6333.95,6348.08,179029496.0,17770804.0192,-10.79,1.36
74,2019/04/24,6365.41,6414.6,6277.7,6412.07,158709206.0,16085549.056,10.08,1.23
75,2019/04/25,6380.68,6400.33,6214.24,6221.8,187894848.0,18826946.1504,-29.67,1.44
76,2019/04/26,6174.18,6199.54,6100.69,6102.36,150052797.0,15008938.3936,-19.2,1.15
77,2019/04/29,6107.88,6129.25,5993.69,6013.23,152003698.0,14552060.7232,-14.61,1.12
78,2019/04/30,5991.4,6081.82,5988.65,6044.44,111192872.0,11132515.1232,5.19,0.85
79,2019/05/06,5799.46,5820.87,5569.28,5605.28,150276754.0,13908502.1184,-72.66,1.07
80,2019/05/07,5630.35,5723.65,5583.71,5689.11,129108245.0,12235884.1344,14.96,0.94
81,2019/05/08,5574.87,5735.97,5549.24,5633.41,127011580.0,11522128.2816,-9.79,0.88
82,2019/05/09,5572.2,5636.72,5532.95,5540.28,104849350.0,9633647.0016,-16.53,0.74
83,2019/05/10,5601.4,5742.94,5478.25,5742.94,148511371.0,13722890.24,36.58,1.05
84,2019/05/13,5661.86,5695.86,5595.73,5618.83,121731805.0,11453093.4784,-21.61,0.88
85,2019/05/14,5549.24,5629.99,5545.49,5570.42,117120431.0,10952879.3088,-8.62,0.84
86,2019/05/15,5626.73,5713.91,5626.73,5700.07,132401740.0,12331120.2304,23.27,0.95
87,2019/05/16,5698.79,5726.69,5668.74,5713.28,142066779.0,12803097.3952,2.32,0.98
88,2019/05/17,5726.14,5741.95,5526.29,5546.33,157019516.0,13986966.7328,-29.22,1.07
89,2019/05/20,5543.43,5555.28,5398.44,5473.17,118630145.0,10912561.5616,-13.19,0.84
90,2019/05/21,5481.29,5612.36,5460.41,5597.91,124461696.0,11341934.592,22.79,0.87
91,2019/05/22,5554.43,5609.97,5522.11,5559.09,122302092.0,11340394.496,-6.93,0.87
92,2019/05/23,5522.2,5522.2,5380.35,5395.83,118683920.0,10868161.7408,-29.37,0.83
93,2019/05/24,5373.57,5426.16,5337.47,5357.34,98552263.0,8955655.7824,-7.13,0.69
94,2019/05/27,5368.94,5508.29,5339.02,5494.61,116090491.0,10527754.6496,25.62,0.81
95,2019/05/28,5492.1,5553.24,5469.84,5529.95,120156592.0,11165236.4288,6.43,0.86
96,2019/05/29,5490.17,5553.39,5475.89,5508.67,111843908.0,10216400.4864,-3.85,0.78
97,2019/05/30,5493.85,5494.28,5424.14,5479.88,114456856.0,10597303.0912,-5.23,0.81
98,2019/05/31,5479.76,5530.82,5451.44,5474.76,112826763.0,10396301.7216,-0.93,0.8
99,2019/06/03,5504.36,5533.74,5417.82,5445.44,126117192.0,11701325.824,-5.36,0.9
100,2019/06/04,5438.74,5445.67,5351.12,5382.65,108140816.0,10361058.9184,-11.53,0.8
101,2019/06/05,5427.29,5442.62,5360.17,5371.64,98818998.0,9719832.576,-2.05,0.75
102,2019/06/06,5372.22,5372.22,5246.38,5262.87,103106221.0,9486892.2368,-20.25,0.73
103,2019/06/10,5287.3,5388.75,5265.67,5367.92,90550231.0,8605870.4896,19.96,0.66
104,2019/06/11,5377.23,5561.7,5360.14,5558.26,137318647.0,12607879.5776,35.46,0.97
105,2019/06/12,5539.96,5562.58,5497.06,5513.18,133325472.0,12208720.2816,-8.11,0.94
106,2019/06/13,5509.72,5521.74,5455.64,5507.18,120237360.0,10713505.792,-1.09,0.82
107,2019/06/14,5508.64,5529.09,5411.34,5416.6,122542997.0,10608150.9376,-16.45,0.81
108,2019/06/17,5419.51,5446.58,5379.22,5393.21,90108334.0,8010811.8016,-4.32,0.61
109,2019/06/18,5396.8,5430.4,5359.89,5413.44,86550239.0,7863116.5952,3.75,0.6
110,2019/06/19,5589.79,5611.35,5513.56,5514.64,120150384.0,11653493.5552,18.69,0.89
111,2019/06/20,5510.73,5667.5,5494.21,5632.95,136931346.0,12632238.4896,21.45,0.97
112,2019/06/21,5641.23,5717.1,5640.78,5688.94,146915264.0,13545030.4512,9.94,1.04
113,2019/06/24,5686.49,5701.58,5654.66,5685.17,119611573.0,11115597.824,-0.66,0.85
114,2019/06/25,5677.5,5677.5,5540.83,5608.39,115424585.0,10660395.4176,-13.51,0.82
115,2019/06/26,5573.96,5657.2,5560.7,5638.73,92968443.0,8866690.6624,5.41,0.68
116,2019/06/27,5656.23,5735.78,5656.23,5715.51,110891054.0,11012537.5488,13.62,0.85
117,2019/06/28,5715.94,5715.94,5637.5,5678.75,103647943.0,9560530.1248,-6.43,0.73
118,2019/07/01,5828.43,5909.84,5803.07,5908.05,136971282.0,14032186.5728,40.38,1.08
119,2019/07/02,5904.17,5933.33,5874.02,5912.97,124463050.0,12513970.5856,0.83,0.96
120,2019/07/03,5895.08,5896.15,5804.13,5829.45,108960423.0,10592425.5744,-14.12,0.81
121,2019/07/04,5839.21,5855.28,5746.49,5770.56,94916737.0,9276757.6064,-10.1,0.71
122,2019/07/05,5787.33,5817.04,5764.4,5799.3,85801812.0,8625487.872,4.98,0.66
123,2019/07/08,5784.42,5785.76,5613.42,5653.32,111504851.0,10963903.2832,-25.17,0.84
124,2019/07/09,5641.01,5665.02,5599.95,5652.85,84326608.0,8496810.3936,-0.08,0.65
125,2019/07/10,5669.16,5677.98,5605.36,5623.36,82189471.0,8031673.5488,-5.22,0.62
126,2019/07/11,5652.22,5685.92,5578.09,5599.28,84704157.0,8233848.832,-4.28,0.63
127,2019/07/12,5600.15,5642.11,5567.42,5625.79,79206936.0,7633173.7088,4.73,0.59
128,2019/07/15,5605.55,5722.04,5520.8,5687.53,98744366.0,9588446.8224,10.97,0.74
129,2019/07/16,5674.81,5697.14,5656.86,5671.34,85069527.0,8341123.072,-2.85,0.64
130,2019/07/17,5670.33,5727.46,5646.38,5700.58,91851155.0,9137464.9344,5.16,0.7
131,2019/07/18,5666.29,5666.29,5584.23,5584.23,92469766.0,8747862.4256,-20.41,0.67
132,2019/07/19,5599.86,5669.91,5599.86,5625.47,83147866.0,8061238.4768,7.39,0.62
133,2019/07/22,5654.65,5660.89,5546.19,5589.92,93390011.0,8886187.6224,-6.32,0.68
134,2019/07/23,5589.12,5637.55,5586.0,5637.55,72405886.0,7089007.8208,8.52,0.54
135,2019/07/24,5649.3,5732.16,5649.3,5706.89,92452703.0,9134072.6272,12.3,0.7
136,2019/07/25,5710.55,5782.63,5703.65,5777.49,89997993.0,9458701.1072,12.37,0.73
137,2019/07/26,5761.86,5804.62,5748.81,5795.02,80944273.0,8257887.4368,3.03,0.63
138,2019/07/29,5798.83,5814.71,5772.36,5801.96,79995266.0,8244780.2368,1.2,0.63
139,2019/07/30,5806.3,5868.49,5806.3,5818.44,88444029.0,8979855.7696,2.84,0.69
140,2019/07/31,5801.93,5820.31,5782.72,5794.71,80054945.0,8178332.4672,-4.08,0.63
141,2019/08/01,5765.13,5794.32,5733.53,5767.17,82855471.0,8692821.1968,-4.75,0.67
142,2019/08/02,5608.21,5678.56,5593.42,5669.62,97519367.0,10087471.5136,-16.91,0.77
143,2019/08/05,5649.85,5690.07,5556.53,5556.53,87249138.0,9252159.488,-19.95,0.71
144,2019/08/06,5438.23,5518.45,5372.91,5490.62,116261021.0,11156193.28,-11.86,0.86
145,2019/08/07,5534.46,5544.56,5463.37,5463.37,83926636.0,8802664.448,-4.96,0.68
146,2019/08/08,5495.07,5534.07,5471.42,5521.22,77784133.0,8091686.5024,10.59,0.62
147,2019/08/09,5547.55,5557.41,5449.85,5455.94,88311616.0,8965037.2608,-11.82,0.69
148,2019/08/12,5469.38,5592.19,5448.6,5592.19,83793515.0,8722111.6928,24.97,0.67
149,2019/08/13,5543.03,5564.99,5508.28,5531.33,76756200.0,8051174.6048,-10.88,0.62
150,2019/08/14,5623.73,5644.42,5564.01,5571.27,91068812.0,9888396.9024,7.22,0.76
151,2019/08/15,5454.32,5626.59,5440.15,5626.1,94857208.0,9736226.4064,9.84,0.75
152,2019/08/16,5624.43,5728.22,5616.52,5673.09,98891333.0,10810291.8144,8.35,0.83
153,2019/08/19,5737.63,5845.41,5713.3,5840.81,133091286.0,14512565.4528,29.56,1.11
154,2019/08/20,5845.4,5879.13,5810.66,5834.64,129589507.0,13557274.2144,-1.06,1.04
155,2019/08/21,5798.77,5863.52,5795.72,5828.91,113598824.0,11961588.9408,-0.98,0.92
156,2019/08/22,5842.56,5854.02,5797.88,5849.57,112967664.0,11711310.2336,3.54,0.9
157,2019/08/23,5847.31,5885.06,5821.29,5865.11,118177242.0,11772062.1056,2.66,0.9
158,2019/08/26,5738.24,5814.37,5735.54,5807.52,114912282.0,11513568.4608,-9.82,0.88
159,2019/08/27,5849.04,5971.69,5847.39,5933.24,141649577.0,14420610.2528,21.65,1.11
160,2019/08/28,5930.02,5942.61,5887.06,5916.33,134636878.0,13106691.2768,-2.85,1.01
161,2019/08/29,5928.0,5951.11,5888.89,5916.03,122498215.0,12074217.472,-0.05,0.93
162,2019/08/30,5953.13,5978.58,5849.87,5883.09,140723646.0,13848995.4304,-5.57,1.06
163,2019/09/02,5889.6,6016.47,5883.78,5998.5,132619213.0,13330509.0048,19.62,1.02
164,2019/09/03,6005.13,6078.76,5995.82,6078.76,135842578.0,13885623.5008,13.38,1.07
165,2019/09/04,6063.29,6105.03,6033.54,6104.13,142496099.0,14562328.576,4.17,1.12
166,2019/09/05,6134.47,6245.23,6121.94,6156.81,182829760.0,18739049.2672,8.63,1.44
167,2019/09/06,6178.03,6204.72,6117.33,6177.7,143144864.0,15307425.3824,3.39,1.17
168,2019/09/09,6243.66,6299.58,6194.35,6299.58,165719517.0,17586107.1872,19.73,1.35
169,2019/09/10,6297.76,6298.08,6232.73,6274.31,169700939.0,17714021.9904,-4.01,1.36
170,2019/09/11,6290.38,6300.99,6188.32,6198.72,149973615.0,15364484.3008,-12.05,1.18
171,2019/09/12,6220.0,6248.26,6178.27,6238.59,125731322.0,12806570.8032,6.43,0.98
172,2019/09/16,6271.91,6289.85,6223.84,6255.62,143829849.0,14757404.672,2.73,1.13
173,2019/09/17,6236.43,6236.43,6101.81,6131.38,146699591.0,14773082.5216,-19.86,1.13
174,2019/09/18,6140.69,6187.76,6101.89,6164.06,120297938.0,12536850.8416,5.33,0.96
175,2019/09/19,6181.82,6226.25,6153.3,6226.25,121994908.0,13024509.1328,10.09,1.0
176,2019/09/20,6235.38,6268.12,6211.22,6253.91,127104252.0,14075184.7424,4.44,1.08
177,2019/09/23,6231.24,6231.24,6149.22,6205.47,123376888.0,13579089.5104,-7.75,1.04
178,2019/09/24,6203.63,6278.88,6191.79,6221.04,131963019.0,14784061.44,2.51,1.13
179,2019/09/25,6191.34,6191.34,6090.3,6110.03,130438860.0,13915121.2544,-17.84,1.07
180,2019/09/26,6127.93,6138.97,5974.33,5989.68,133534004.0,13991754.1376,-19.7,1.07
181,2019/09/27,5999.0,6087.33,5999.0,6077.23,97863825.0,10804989.952,14.62,0.83
182,2019/09/30,6072.27,6105.35,5997.8,5997.8,82484687.0,9137904.8448,-13.07,0.7
183,2019/10/08,6013.86,6050.41,5979.32,5984.26,83716863.0,9250601.3696,-2.26,0.71
184,2019/10/09,5960.66,6005.27,5900.06,5999.53,85892324.0,9274507.264,2.55,0.71
185,2019/10/10,5986.42,6101.08,5974.03,6101.08,105890556.0,11756977.3568,16.93,0.9
186,2019/10/11,6106.59,6135.54,6056.23,6104.16,111947251.0,11841484.3904,0.5,0.91
187,2019/10/14,6167.33,6230.77,6154.59,6192.94,130855180.0,13496520.704,14.54,1.04
188,2019/10/15,6158.95,6158.95,6072.37,6084.34,116676100.0,11904719.2576,-17.54,0.91
189,2019/10/16,6094.23,6141.49,6076.75,6082.18,103307514.0,10569213.5424,-0.36,0.81
190,2019/10/17,6093.46,6130.25,6093.2,6117.31,95211703.0,9682434.4576,5.78,0.74
191,2019/10/18,6129.9,6154.98,6032.91,6044.63,110105493.0,10901682.5856,-11.88,0.84
192,2019/10/21,6045.39,6071.01,6003.28,6065.05,95922520.0,9588988.3136,3.38,0.74
193,2019/10/22,6086.84,6128.15,6068.14,6127.99,94967080.0,9895269.1712,10.38,0.76
194,2019/10/23,6129.22,6129.22,6061.48,6074.94,96806540.0,9860894.72,-8.66,0.76
195,2019/10/24,6075.84,6099.78,6034.2,6075.46,95406800.0,9642922.8032,0.09,0.74
196,2019/10/25,6078.65,6163.93,6043.5,6163.93,104305722.0,10924084.4288,14.56,0.84
197,2019/10/28,6220.46,6270.07,6207.36,6270.07,139381984.0,13958497.8944,17.22,1.07
198,2019/10/29,6273.89,6280.04,6227.51,6230.93,150748418.0,14604337.152,-6.24,1.12
199,2019/10/30,6187.7,6219.72,6143.26,6199.97,133641335.0,12967503.4624,-4.97,1.0
200,2019/10/31,6195.94,6209.2,6142.62,6149.6,116535967.0,11883444.6336,-8.12,0.91
201,2019/11/01,6129.24,6224.52,6114.83,6217.91,108304875.0,11193809.3056,11.11,0.86
202,2019/11/04,6234.15,6288.26,6233.18,6268.69,115944456.0,12377234.6368,8.17,0.95
203,2019/11/05,6282.98,6345.83,6258.25,6328.71,116143006.0,12227147.3664,9.57,0.94
204,2019/11/06,6324.73,6332.97,6251.54,6277.12,114885326.0,12019421.184,-8.15,0.92
205,2019/11/07,6264.05,6325.01,6256.67,6309.05,102464118.0,10586519.9616,5.09,0.81
206,2019/11/08,6359.61,6390.97,6305.48,6309.01,112734200.0,12124482.7648,-0.01,0.93
207,2019/11/11,6273.98,6294.41,6193.9,6206.76,107648319.0,10988146.688,-16.21,0.84
208,2019/11/12,6209.16,6231.05,6124.72,6203.06,98204250.0,10044868.1984,-0.6,0.77
209,2019/11/13,6203.89,6230.8,6164.22,6221.32,87834268.0,9358799.6672,2.94,0.72
210,2019/11/14,6213.23,6284.04,6200.04,6265.67,97428160.0,10923932.8768,7.13,0.84
211,2019/11/15,6254.22,6291.83,6197.52,6197.52,100380878.0,11115597.824,-10.88,0.85
212,2019/11/18,6183.28,6252.28,6177.25,6241.42,89463112.0,9688255.6928,7.08,0.74
213,2019/11/19,6244.5,6367.11,6238.01,6367.11,104668943.0,11444600.832,20.14,0.88
214,2019/11/20,6366.78,6383.05,6294.99,6303.27,107108783.0,11706964.3776,-10.03,0.9
215,2019/11/21,6277.26,6316.37,6256.55,6292.77,98888323.0,9714672.4352,-1.67,0.75
216,2019/11/22,6304.66,6357.71,6140.25,6175.57,116867573.0,12454600.704,-18.62,0.96
217,2019/11/25,6166.62,6175.54,6065.82,6117.39,98390647.0,10145678.1312,-9.42,0.78
218,2019/11/26,6149.23,6172.22,6105.79,6154.78,89880348.0,9357176.0128,6.11,0.72
219,2019/11/27,6141.34,6184.69,6089.24,6151.27,94413055.0,9562596.1472,-0.57,0.73
220,2019/11/28,6144.24,6161.7,6098.01,6114.96,85574925.0,8481269.3504,-5.9,0.65
221,2019/11/29,6113.17,6126.28,6032.52,6096.48,84382341.0,8496948.8384,-3.02,0.65
222,2019/12/02,6108.26,6141.95,6092.47,6107.52,85580449.0,8848140.6976,1.81,0.68
223,2019/12/03,6080.59,6123.14,6037.43,6123.14,86164262.0,8723092.2752,2.56,0.67
224,2019/12/04,6094.87,6149.71,6086.75,6132.98,88097571.0,9205215.232,1.61,0.71
225,2019/12/05,6160.86,6244.32,6147.07,6232.74,108474793.0,11723612.9792,16.27,0.9
226,2019/12/06,6231.97,6289.46,6224.32,6289.46,106895261.0,11488309.248,9.1,0.88
227,2019/12/09,6302.57,6307.27,6238.08,6249.64,116221504.0,12643518.0544,-6.33,0.97
228,2019/12/10,6234.87,6276.3,6204.31,6275.67,119129025.0,12587281.6128,4.17,0.97
229,2019/12/11,6264.95,6291.56,6229.27,6242.07,118956645.0,12777012.4288,-5.35,0.98
230,2019/12/12,6244.77,6264.58,6215.82,6225.13,114814261.0,12219115.1104,-2.71,0.94
231,2019/12/13,6292.93,6349.16,6259.66,6339.26,127437931.0,13863976.96,18.33,1.06
232,2019/12/16,6364.67,6452.13,6349.01,6452.13,150483246.0,16320215.4496,17.8,1.25
233,2019/12/17,6450.64,6570.15,6442.57,6546.45,178954782.0,19072499.712,14.62,1.46
234,2019/12/18,6539.71,6592.6,6531.32,6553.12,170406463.0,17846734.0288,1.02,1.37
235,2019/12/19,6554.51,6554.51,6493.96,6528.5,155967444.0,15357190.144,-3.76,1.18
236,2019/12/20,6532.56,6562.96,6492.24,6495.23,159083293.0,15213623.7056,-5.1,1.17
237,2019/12/23,6462.53,6497.08,6377.04,6381.13,138343794.0,13801979.904,-17.57,1.06
238,2019/12/24,6392.05,6470.89,6380.65,6470.89,121180951.0,11645586.6368,14.07,0.89
239,2019/12/25,6457.64,6528.3,6455.3,6504.84,135935488.0,13485595.8528,5.25,1.03
240,2019/12/26,6513.88,6550.07,6490.63,6543.3,133319483.0,13012467.712,5.91,1.0
241,2019/12/27,6557.29,6592.62,6495.93,6500.49,158203062.0,16028930.8672,-6.54,1.23
242,2019/12/30,6473.35,6574.06,6425.87,6570.22,144593545.0,14579438.3872,10.73,1.12
243,2019/12/31,6567.77,6632.68,6564.61,6632.68,128286517.0,13221918.3104,9.51,1.01
244,2020/01/02,6686.61,6826.19,6653.5,6809.48,174722748.0,17950408.704,26.66,1.38
245,2020/01/03,6824.33,6853.33,6785.74,6829.67,168860067.0,17111749.4272,2.96,1.31
246,2020/01/06,6790.6,6972.09,6773.23,6888.38,197830202.0,20684668.928,8.6,1.59
247,2020/01/07,6905.15,6965.44,6899.72,6964.9,187899667.0,19248848.896,11.11,1.48
248,2020/01/08,6924.57,6966.87,6858.56,6869.35,202162371.0,20320765.5424,-13.72,1.56
249,2020/01/09,6933.75,7000.69,6933.75,6997.64,184834790.0,18938898.0224,18.68,1.45
250,2020/01/10,7015.9,7019.45,6943.39,6981.08,165795879.0,17199998.5664,-2.37,1.32
251,2020/01/13,7003.47,7118.54,6974.49,7118.54,164651955.0,18298850.5088,19.69,1.4
252,2020/01/14,7160.92,7172.51,7106.45,7114.85,173240501.0,19122723.2256,-0.52,1.47
253,2020/01/15,7109.05,7132.49,7034.22,7125.42,154124281.0,16808273.5104,1.49,1.29
254,2020/01/16,7126.57,7153.83,7103.74,7130.16,151966278.0,16929302.1184,0.67,1.3
255,2020/01/17,7141.4,7171.19,7086.96,7110.72,145690679.0,16323661.0048,-2.73,1.25
