,日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,与年成交量比率
0,2019/01/02,4.23,4.25,4.17,4.19,3330068.0,1398.3098,0.0,0.3
1,2019/01/03,4.21,4.25,4.18,4.2,3546902.0,1493.5003,2.39,0.32
2,2019/01/04,4.18,4.31,4.03,4.3,6569069.0,2770.4436,23.81,0.58
3,2019/01/07,4.34,4.42,4.3,4.39,8564079.0,3736.3856,20.93,0.79
4,2019/01/08,4.39,4.42,4.3,4.4,5117897.0,2237.7262,2.28,0.47
5,2019/01/09,4.38,4.49,4.37,4.42,11897586.0,5266.3144,4.55,1.11
6,2019/01/10,4.43,4.6,4.41,4.52,13066435.0,5886.5436,22.62,1.24
7,2019/01/11,4.47,4.54,4.43,4.49,7588320.0,3403.1688,-6.64,0.72
8,2019/01/14,4.51,4.51,4.38,4.41,6216334.0,2752.1544,-17.82,0.58
9,2019/01/15,4.41,4.51,4.39,4.49,6271090.0,2794.279,18.14,0.59
10,2019/01/16,4.52,4.53,4.46,4.51,5913890.0,2657.111,4.45,0.56
11,2019/01/17,4.51,4.52,4.41,4.41,5279700.0,2346.4364,-22.17,0.5
12,2019/01/18,4.42,4.48,4.4,4.47,4906600.0,2177.9614,13.61,0.46
13,2019/01/21,4.49,4.88,4.47,4.63,17490739.0,8111.2648,35.79,1.71
14,2019/01/22,4.56,4.62,4.49,4.52,11343037.0,5154.4416,-23.76,1.09
15,2019/01/23,4.48,4.53,4.43,4.45,5258516.0,2346.7156,-15.49,0.5
16,2019/01/24,4.44,4.51,4.37,4.47,6817288.0,3022.2812,4.49,0.64
17,2019/01/25,4.48,4.51,4.37,4.4,6652988.0,2956.7972,-15.66,0.62
18,2019/01/28,4.4,4.45,4.27,4.3,6155169.0,2685.3846,-22.73,0.57
19,2019/01/29,4.25,4.29,4.03,4.2,6946681.0,2888.714,-23.26,0.61
20,2019/01/30,4.17,4.24,4.05,4.13,5208381.0,2167.7222,-16.67,0.46
21,2019/01/31,4.11,4.15,3.98,4.05,6126601.0,2500.2122,-19.37,0.53
22,2019/02/01,4.09,4.21,4.08,4.18,4576549.0,1898.5222,32.1,0.4
23,2019/02/11,4.2,4.28,4.19,4.26,6094100.0,2587.9428,19.14,0.55
24,2019/02/12,4.25,4.35,4.24,4.34,7168649.0,3091.836,18.78,0.65
25,2019/02/13,4.34,4.42,4.3,4.41,8312155.0,3635.3768,16.13,0.77
26,2019/02/14,4.42,4.44,4.37,4.41,5756595.0,2536.5002,0.0,0.54
27,2019/02/15,4.39,4.57,4.38,4.44,13146582.0,5882.5848,6.8,1.24
28,2019/02/18,4.46,4.64,4.45,4.58,14458372.0,6592.29,31.53,1.39
29,2019/02/19,4.59,4.66,4.48,4.6,12820225.0,5869.6744,4.37,1.24
30,2019/02/20,4.56,4.72,4.56,4.67,13139646.0,6100.6512,15.22,1.29
31,2019/02/21,4.67,4.71,4.52,4.55,14744785.0,6809.4312,-25.7,1.44
32,2019/02/22,4.53,4.72,4.51,4.7,13778249.0,6386.4008,32.97,1.35
33,2019/02/25,4.73,5.0,4.73,4.93,21043412.0,10224.3216,48.94,2.16
34,2019/02/26,4.91,5.24,4.85,5.0,28197343.0,14084.2304,14.2,2.97
35,2019/02/27,5.3,5.3,5.02,5.11,32338902.0,16763.2448,22.0,3.54
36,2019/02/28,5.06,5.46,5.0,5.35,30301609.0,15961.2608,46.97,3.37
37,2019/03/01,5.33,5.35,5.16,5.27,18803381.0,9829.2376,-14.95,2.07
