,日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,与年成交量比率
0,2019/01/02,4.92,4.94,4.86,4.92,635700.0,310.826,0.0,0.28
1,2019/01/03,4.93,4.97,4.84,4.87,1142571.0,558.04105,-10.16,0.51
2,2019/01/04,4.75,5.02,4.75,4.89,1387300.0,675.94045,4.11,0.61
3,2019/01/07,4.9,4.92,4.88,4.91,1061063.0,519.4465,4.09,0.47
4,2019/01/08,4.9,4.91,4.85,4.9,784442.0,383.272675,-2.04,0.35
5,2019/01/09,4.9,4.94,4.87,4.88,936200.0,459.3101,-4.08,0.42
6,2019/01/10,4.86,5.02,4.86,4.99,1464416.0,726.8746,22.54,0.66
7,2019/01/11,4.97,5.02,4.96,4.99,1090442.0,543.66685,0.0,0.49
8,2019/01/14,4.98,5.07,4.89,4.92,666901.0,330.2897,-14.03,0.3
9,2019/01/15,4.91,4.97,4.87,4.95,889463.0,436.7857,6.1,0.4
10,2019/01/16,4.93,4.99,4.91,4.95,788000.0,390.1923,0.0,0.35
11,2019/01/17,4.95,4.97,4.9,4.93,819254.0,404.11955,-4.04,0.37
12,2019/01/18,4.93,4.95,4.84,4.94,861113.0,421.98505,2.03,0.38
13,2019/01/21,4.94,5.02,4.94,4.98,1280500.0,636.6309,8.1,0.58
14,2019/01/22,5.0,5.0,4.91,4.92,706300.0,348.718,-12.05,0.32
15,2019/01/23,4.92,4.99,4.88,4.97,1077700.0,533.5616,10.16,0.48
16,2019/01/24,4.98,5.11,4.96,5.1,2195039.0,1105.2799,26.16,1.0
17,2019/01/25,5.1,5.36,5.06,5.3,4728759.0,2492.6202,39.22,2.26
18,2019/01/28,5.27,5.46,5.22,5.23,2836017.0,1512.3949,-13.21,1.37
19,2019/01/29,5.22,5.3,5.15,5.21,1995190.0,1035.3649,-3.82,0.94
20,2019/01/30,5.21,5.24,5.15,5.21,1387790.0,722.9832,0.0,0.66
21,2019/01/31,5.2,5.21,4.95,4.96,2183055.0,1108.8506,-47.98,1.01
22,2019/02/01,4.96,5.05,4.91,5.01,1835618.0,910.8926,10.08,0.83
23,2019/02/11,4.98,5.15,4.94,5.06,3633992.0,1815.1332,9.98,1.65
24,2019/02/12,5.03,5.12,5.01,5.08,1912024.0,970.2487,3.95,0.88
25,2019/02/13,5.05,5.11,5.04,5.09,2121530.0,1077.315,1.97,0.98
26,2019/02/14,5.11,5.24,5.1,5.11,2002430.0,1035.252,3.93,0.94
27,2019/02/15,5.1,5.18,5.05,5.11,2702201.0,1376.7196,0.0,1.25
28,2019/02/18,5.11,5.2,5.09,5.19,2590005.0,1338.377,15.66,1.21
29,2019/02/19,5.2,5.28,5.14,5.26,3104411.0,1614.5588,13.49,1.46
30,2019/02/20,5.25,5.32,5.21,5.31,1907725.0,1004.6389,9.51,0.91
31,2019/02/21,5.33,5.34,5.21,5.22,1906751.0,1007.1135,-16.95,0.91
32,2019/02/22,5.23,5.3,5.18,5.26,1192000.0,624.32445,7.66,0.57
33,2019/02/25,5.28,5.42,5.25,5.42,6052102.0,3222.187,30.42,2.92
34,2019/02/26,5.4,5.53,5.36,5.46,4254306.0,2324.7568,7.38,2.11
35,2019/02/27,5.43,5.52,5.42,5.45,2510401.0,1373.0924,-1.83,1.25
36,2019/02/28,5.45,5.52,5.43,5.47,2195800.0,1202.2449,3.67,1.09
37,2019/03/01,5.5,5.64,5.47,5.61,3275743.0,1828.5332,25.59,1.66
38,2019/03/04,5.64,5.72,5.56,5.67,4671564.0,2621.1296,10.7,2.38
39,2019/03/05,5.65,5.88,5.61,5.73,3194099.0,1827.2598,10.58,1.66
40,2019/03/06,5.75,5.89,5.68,5.84,5675008.0,3276.272,19.2,2.97
