,日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,与年成交量比率
0,2019/01/02,4.72,4.73,4.65,4.66,10054828.0,4753.7052,0.0,0.04
1,2019/01/03,4.68,4.83,4.58,4.73,18648381.0,8937.4184,15.02,0.07
2,2019/01/04,4.68,4.98,4.66,4.9,26126560.0,12783.2592,35.94,0.1
3,2019/01/07,4.92,5.0,4.86,4.98,26865334.0,13434.8176,16.33,0.11
4,2019/01/08,4.97,4.97,4.9,4.92,18787418.0,9359.6768,-12.05,0.08
5,2019/01/09,4.92,5.08,4.9,4.95,28094740.0,14167.1184,6.1,0.11
6,2019/01/10,4.92,5.04,4.91,4.93,19319372.0,9677.5928,-4.04,0.08
7,2019/01/11,4.93,5.01,4.91,4.97,15878620.0,7944.656,8.11,0.06
8,2019/01/14,4.97,4.99,4.88,4.9,12362983.0,6145.888,-14.08,0.05
9,2019/01/15,4.9,4.98,4.87,4.97,17233896.0,8622.1008,14.29,0.07
10,2019/01/16,4.96,5.17,4.94,5.02,38932059.0,19985.8832,10.06,0.16
11,2019/01/17,5.01,5.01,4.9,4.98,25650867.0,12828.3528,-7.97,0.1
12,2019/01/18,4.96,5.1,4.94,5.09,27542295.0,14015.008,22.09,0.11
13,2019/01/21,5.28,5.44,5.17,5.36,67142941.0,35955.4208,53.05,0.29
14,2019/01/22,5.34,5.36,5.22,5.22,31239964.0,16615.624,-26.12,0.13
15,2019/01/23,5.25,5.32,5.22,5.22,22053297.0,11721.704,0.0,0.09
16,2019/01/24,5.22,5.58,5.17,5.43,49333534.0,26974.2592,40.23,0.22
17,2019/01/25,5.42,5.53,5.38,5.39,30575972.0,16829.9728,-7.37,0.13
18,2019/01/28,5.47,5.49,5.31,5.33,22788815.0,12403.2304,-11.13,0.1
19,2019/01/29,5.33,5.41,5.19,5.36,25713546.0,13788.584,5.63,0.11
20,2019/01/30,5.32,5.5,5.31,5.35,22794874.0,12446.6624,-1.87,0.1
21,2019/01/31,5.34,5.43,5.22,5.31,23072211.0,12411.1,-7.48,0.1
22,2019/02/01,5.34,5.49,5.32,5.48,25815798.0,14157.312,32.02,0.11
23,2019/02/11,5.5,5.63,5.45,5.62,37639095.0,21108.5552,25.55,0.17
24,2019/02/12,5.61,5.65,5.5,5.55,36530325.0,20538.4144,-12.46,0.16
25,2019/02/13,5.54,5.79,5.52,5.73,51163141.0,29393.0176,32.43,0.24
26,2019/02/14,5.7,5.77,5.65,5.73,33218859.0,19144.0288,0.0,0.15
27,2019/02/15,5.72,5.94,5.7,5.85,53098554.0,31388.352,20.94,0.25
28,2019/02/18,5.91,6.18,5.84,6.17,59457517.0,36185.1264,54.7,0.29
29,2019/02/19,6.2,6.32,6.07,6.24,60873954.0,38036.0512,11.35,0.3
30,2019/02/20,6.21,6.41,6.15,6.3,45343232.0,28741.4816,9.62,0.23
31,2019/02/21,6.33,6.67,6.23,6.39,71501601.0,46473.0848,14.29,0.37
32,2019/02/22,6.38,7.01,6.34,6.97,96431644.0,65526.0864,90.77,0.53
33,2019/02/25,7.07,7.45,6.99,7.22,136676997.0,99357.6576,35.87,0.8
34,2019/02/26,7.2,7.2,6.95,7.07,92289222.0,65875.2512,-20.78,0.53
35,2019/02/27,6.96,7.25,6.84,6.99,81621757.0,58198.6112,-11.32,0.47
36,2019/02/28,6.97,7.08,6.82,6.87,54844404.0,38222.6624,-17.17,0.31
37,2019/03/01,6.93,6.99,6.77,6.94,46507297.0,32185.4944,10.19,0.26
38,2019/03/04,7.07,7.3,6.95,7.04,91679985.0,65572.864,14.41,0.53
39,2019/03/05,6.99,7.73,6.95,7.73,126179117.0,92708.1728,98.01,0.74
40,2019/03/06,7.65,7.78,7.35,7.64,109281614.0,83125.8304,-11.64,0.67
41,2019/03/07,7.61,8.04,7.47,7.83,104677748.0,82467.904,24.87,0.66
42,2019/03/08,7.77,8.62,7.55,8.28,243401146.0,205983.1808,57.47,1.65
43,2019/03/11,8.75,8.75,7.86,8.35,165667609.0,137815.424,8.45,1.1
44,2019/03/12,8.25,8.6,8.13,8.42,116466749.0,97734.7072,8.38,0.78
45,2019/03/13,8.47,8.47,7.57,7.72,136457547.0,109790.1312,-83.14,0.88
46,2019/03/14,7.57,7.8,7.28,7.53,87498035.0,66080.0576,-24.61,0.53
47,2019/03/15,7.6,7.74,7.37,7.44,80042899.0,60660.0128,-11.95,0.49
48,2019/03/18,7.5,8.19,7.33,8.19,127889447.0,102253.4336,100.81,0.82
49,2019/03/19,8.52,9.01,8.44,9.01,89519406.0,79220.6144,100.12,0.63
50,2019/03/20,9.92,9.92,9.05,9.55,364648529.0,351091.1744,59.93,2.81
51,2019/03/21,9.77,10.51,9.43,10.14,286229030.0,292481.4336,61.78,2.34
52,2019/03/22,10.61,10.95,10.0,10.2,273971850.0,287158.0928,5.92,2.3
53,2019/03/25,9.95,10.55,9.58,10.1,227713071.0,231377.7408,-9.8,1.85
54,2019/03/26,10.08,11.05,9.97,10.1,243546418.0,255792.2304,0.0,2.05
55,2019/03/27,10.15,10.24,9.09,9.87,199415713.0,193512.9728,-22.77,1.55
56,2019/03/28,9.71,10.38,9.41,9.56,172083826.0,170998.0544,-31.41,1.37
57,2019/03/29,9.66,10.52,9.41,10.52,277235441.0,284843.648,100.42,2.28
58,2019/04/01,10.75,11.58,10.52,11.33,336346098.0,375775.6928,77.0,3.01
59,2019/04/02,11.06,11.5,10.63,10.88,276799717.0,307672.3712,-39.72,2.47
60,2019/04/03,10.7,10.85,10.42,10.75,138767732.0,148106.0224,-11.95,1.19
61,2019/04/04,10.78,10.91,10.54,10.6,109762898.0,117807.9616,-13.95,0.94
62,2019/04/08,10.85,10.89,9.96,9.98,159332684.0,164110.1824,-58.49,1.32
63,2019/04/09,10.05,10.3,9.95,10.12,78986906.0,80154.6944,14.03,0.64
64,2019/04/10,10.05,10.63,9.8,10.22,120498256.0,124060.6208,9.88,0.99
65,2019/04/11,10.05,10.28,9.87,9.9,78994957.0,79450.0096,-31.31,0.64
66,2019/04/12,9.94,10.1,9.61,9.78,79573320.0,78335.7184,-12.12,0.63
67,2019/04/15,9.92,10.13,9.55,9.64,87106903.0,86099.5072,-14.31,0.69
68,2019/04/16,9.53,9.96,9.38,9.94,83628483.0,81879.2384,31.12,0.66
69,2019/04/17,9.86,9.91,9.7,9.77,66656291.0,65543.0464,-17.1,0.53
70,2019/04/18,9.76,10.3,9.61,9.92,100042848.0,100739.6352,15.35,0.81
71,2019/04/19,9.85,10.19,9.82,10.01,70011937.0,70264.5504,9.07,0.56
72,2019/04/22,10.0,10.08,9.82,9.85,56041415.0,55963.8272,-15.98,0.45
73,2019/04/23,9.88,9.9,9.03,9.11,110943219.0,104430.9952,-75.13,0.84
74,2019/04/24,9.14,9.49,9.06,9.38,71834279.0,67002.9632,29.64,0.54
75,2019/04/25,9.33,9.57,9.0,9.0,63244881.0,58636.8448,-40.51,0.47
76,2019/04/26,9.05,9.39,8.97,9.14,66309658.0,61285.5104,15.56,0.49
77,2019/04/29,9.15,9.23,8.26,8.4,106964919.0,92746.8992,-80.96,0.74
78,2019/04/30,8.43,8.83,8.43,8.7,65965591.0,57474.8864,35.71,0.46
79,2019/05/06,8.34,8.6,7.9,7.96,86256984.0,71208.3904,-85.06,0.57
80,2019/05/07,8.09,8.31,7.98,8.21,68217758.0,55869.4336,31.41,0.45
81,2019/05/08,8.05,8.59,7.97,8.3,68711589.0,57433.9648,10.96,0.46
82,2019/05/09,8.25,8.6,8.25,8.43,62622975.0,53353.2448,15.66,0.43
83,2019/05/10,8.56,9.28,8.31,9.28,135471345.0,121979.4048,100.83,0.98
84,2019/05/13,9.15,9.5,9.06,9.15,99289773.0,92106.2272,-14.01,0.74
85,2019/05/14,9.05,9.34,8.82,8.95,85506608.0,77952.6464,-21.86,0.62
86,2019/05/15,9.09,9.12,8.96,9.09,59750889.0,54335.3088,15.64,0.44
87,2019/05/16,9.11,9.15,8.89,9.03,58851917.0,53277.4176,-6.6,0.43
88,2019/05/17,9.17,9.38,8.95,8.99,94896247.0,87343.2576,-4.43,0.7
89,2019/05/20,9.25,9.89,9.03,9.89,152495122.0,146926.0672,100.11,1.18
90,2019/05/21,10.29,10.88,10.05,10.47,319538618.0,337889.8176,58.65,2.71
91,2019/05/22,10.45,11.52,10.2,11.1,307302362.0,330612.3776,60.17,2.65
92,2019/05/23,10.65,10.85,10.0,10.17,237449795.0,249920.0512,-83.78,2.0
93,2019/05/24,10.15,10.38,9.83,9.88,140302675.0,142242.9696,-28.52,1.14
94,2019/05/27,9.94,10.55,9.85,10.45,165382206.0,170584.7168,57.69,1.37
95,2019/05/28,10.35,10.35,10.05,10.21,113643878.0,116363.7632,-22.97,0.93
96,2019/05/29,10.1,10.33,10.0,10.1,77866560.0,79430.0672,-10.77,0.64
97,2019/05/30,9.95,9.95,9.41,9.69,107130106.0,103772.1024,-40.59,0.83
98,2019/05/31,9.65,9.93,9.62,9.73,76266198.0,74944.0832,4.13,0.6
99,2019/06/03,9.82,9.88,9.42,9.53,73324750.0,70763.1936,-20.55,0.57
100,2019/06/04,9.46,9.59,9.08,9.16,70185168.0,65634.4192,-38.82,0.53
101,2019/06/05,9.34,9.5,9.04,9.28,70866614.0,66231.7504,13.1,0.53
102,2019/06/06,9.24,9.25,8.85,8.87,55664421.0,50476.6912,-44.18,0.4
103,2019/06/10,8.98,9.23,8.9,9.09,49829403.0,45443.1648,24.8,0.36
104,2019/06/11,9.11,9.42,8.91,9.36,85243983.0,79200.4416,29.7,0.63
105,2019/06/12,9.28,9.52,9.22,9.42,73417246.0,69271.5392,6.41,0.56
106,2019/06/13,9.37,9.51,9.25,9.35,48999989.0,46235.6384,-7.43,0.37
107,2019/06/14,9.35,9.47,8.95,9.02,53782421.0,49844.2592,-35.29,0.4
108,2019/06/17,8.96,9.14,8.78,9.01,46526214.0,41909.552,-1.11,0.34
109,2019/06/18,9.0,9.1,8.91,9.04,31978801.0,28966.3584,3.33,0.23
110,2019/06/19,9.35,9.38,9.05,9.06,38428404.0,35538.0384,2.21,0.28
111,2019/06/20,9.05,9.35,9.0,9.26,49658238.0,46035.904,22.08,0.37
112,2019/06/21,9.25,9.58,9.23,9.54,69946430.0,66442.0864,30.24,0.53
113,2019/06/24,9.75,10.15,9.47,9.63,75185280.0,73805.8944,9.43,0.59
114,2019/06/25,10.08,10.45,9.88,10.11,135502135.0,138039.808,49.84,1.11
115,2019/06/26,9.9,10.07,9.83,9.86,56805393.0,56733.4016,-24.73,0.45
